Group	Bin
WIS	62
WIS	62
WIS	62
WIS	95
WIS	62
WIS	62
WIS	65
WIS	58
WIS	62
WIS	62
WIS	62
WIS	62
WIS	5
WIS	62
WIS	96
WIS	62
WIS	62
WIS	62
WIS	62
WIS	58
WIS	62
WIS	62
WIS	32
WIS	58
WIS	62
WIS	6
WIS	117
WIS	62
WIS	62
WIS	62
WIS	94
WIS	62
WIS	25
WIS	62
WIS	62
WIS	78
WIS	124
WIS	62
WIS	62
WIS	124
WIS	62
WIS	51
WIS	62
WIS	123
WIS	0
WIS	0
WIS	109
WIS	62
WIS	58
WIS	62
WIS	33
WIS	62
WIS	62
WIS	90
WIS	62
WIS	62
WIS	75
WIS	62
WIS	62
WIS	99
WIS	62
WIS	109
WIS	56
WIS	62
WIS	77
WIS	62
WIS	48
WIS	62
WIS	70
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	69
WIS	94
WIS	39
WIS	62
WIS	62
WIS	15
WIS	62
WIS	62
WIS	64
WIS	41
WIS	124
WIS	10
WIS	62
WIS	121
WIS	62
WIS	0
WIS	62
WIS	43
WIS	62
WIS	6
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	75
WIS	62
WIS	62
WIS	62
WIS	13
WIS	124
WIS	91
WIS	47
WIS	63
WIS	50
WIS	25
WIS	62
WIS	62
WIS	112
WIS	61
WIS	62
WIS	64
WIS	61
WIS	65
WIS	62
WIS	62
WIS	62
WIS	62
WIS	3
WIS	123
WIS	0
WIS	2
WIS	63
WIS	101
WIS	27
WIS	62
WIS	48
WIS	122
WIS	96
WIS	67
WIS	97
WIS	31
WIS	86
WIS	62
WIS	119
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	10
WIS	62
WIS	62
WIS	93
WIS	63
WIS	64
WIS	58
WIS	26
WIS	110
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	35
WIS	62
WIS	62
WIS	81
WIS	62
WIS	55
WIS	2
WIS	61
WIS	0
WIS	104
WIS	94
WIS	75
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	106
WIS	59
WIS	27
WIS	121
WIS	62
WIS	62
WIS	62
WIS	68
WIS	59
WIS	62
WIS	3
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	97
WIS	62
WIS	62
WIS	0
WIS	62
WIS	124
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	25
WIS	123
WIS	92
WIS	62
WIS	62
WIS	62
WIS	105
WIS	62
WIS	62
WIS	62
WIS	22
WIS	77
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	28
WIS	79
WIS	62
